codigo;dist_centro;nome;longitude;latitude;peso;dist_cap
3507753;60,430897;Brejo Alegre;50,185278;-21,166389;450;451
3507803;13,523048;Brodowski;47,658611;-20,991389;1000;302
3507902;69,387683;Brotas;48,126667;-22,284167;2980;207
3508009;55,855886;Buri;48,592778;-23,7975;3000;202
3508108;51,487059;Buritama;50,147222;-21,066111;2850;454
3508207;0;Buritizal;47,708333;-20,191111;3000;388
3508306;42,627399;Cabrália Paulista;49,3375;-22,455556;586;302
3508405;17,669396;Cabreúva;47,132778;-23,3075;2100;57
3508504;17,591517;Caçapava;45,706944;-23,100833;4000;107
3508603;45,82517;Cachoeira Paulista;45,009444;-22,665;5870;193
3508702;73,989405;Caconde;46,643889;-21,529444;3200;223
3508801;39,136642;Cafelândia;49,61;-21,8025;692;362
3508900;16,28963;Caiabu;51,235556;-22,012222;3500;502
3509007;50,147198;Caieiras;46,740556;-23,364167;0;23
3509106;14,29412;Caiuá;51,998333;-21,831667;2210;583
3509205;44,324831;Cajamar;46,876944;-23,356111;93;32
3509254;13,111049;Cajati;48,122778;-24,736111;2000;200
3509304;78,11972;Cajobi;48,809444;-20,879722;480;371
3509403;0;Cajuru;47,304167;-21,275278;11000;261
3509452;43,235291;Campina do Monte Alegre;48,477222;-23,591944;2650;188
3509502;0;Campinas;47,060833;-22,905556;9585;83
3509601;43,81452;Campo Limpo Paulista;46,784444;-23,206389;21;41
3509700;32,12956;Campos do Jordão;45,591389;-22,739444;115;139
3509809;56,343234;Campos Novos Paulista;50,0025;-22,603056;575;360
3509908;36,641809;Cananéia;47,926667;-25,014722;100;209
3509957;42,392656;Canas;45,055278;-22,703611;945;187
3510005;48,830396;Cândido Mota;50,386944;-22,746389;690;394
3510104;52,287424;Cândido Rodrigues;48,630833;-21,325278;80;321
3510153;29,20106;Canitar;49,783333;-23,006389;89;328
3510203;81,670675;Capão Bonito;48,349444;-24,005833;1800;182
3510302;35,146644;Capela do Alto;47,734722;-23,470556;1500;113
3510401;36,764311;Capivari;47,507778;-22,995;1907;108
3510500;67,634374;Caraguatatuba;45,413056;-23,620278;578;125
3510609;55,366552;Carapicuíba;46,835556;-23,5225;0;21
3510708;0;Cardoso;49,914167;-20,081944;10576;512
3510807;59,861575;Casa Branca;47,086389;-21,773889;1800;202
3510906;13,959216;Cássia dos Coqueiros;47,169722;-21,282778;4500;257
3511003;49,500983;Castilho;51,4875;-20,872222;5420;581
3511102;44,835836;Catanduva;48,972778;-21,137778;1740;359
3511201;65,396939;Catiguá;49,058333;-21,049444;463;373
3511300;46,700585;Cedral;49,268333;-20,902778;2787;399
3511409;28,378956;Cerqueira César;49,166111;-23,035556;3130;265
3511508;31,989111;Cerquilho;47,743611;-23,165;400;121
3511607;24,236534;Cesário Lange;47,953056;-23,226667;2154;139
3511706;27,385062;Charqueada;47,778056;-22,509722;780;164
3511904;61,205656;Clementina;50,449167;-21,559722;550;450
3512001;17,588707;Colina;48,540833;-20,713333;1120;370
3512100;0;Colômbia;48,688889;-20,175833;856;429
3512209;65,005023;Conchal;47,1725;-22,330278;180;146
3512308;0;Conchas;48,010556;-23,015278;4200;152
3512407;62,207969;Cordeirópolis;47,456667;-22,481944;234;145
3512506;48,403186;Coroados;50,281389;-21,351944;1450;447
3512605;49,187343;Coronel Macedo;49,313611;-23,631111;1875;273
3512704;35,166025;Corumbataí;47,625833;-22,22;1320;179
3512803;32,046508;Cosmópolis;47,196111;-22,645833;172;115
3512902;46,269472;Cosmorama;49,777778;-20,477778;4140;470
3513009;54,144725;Cotia;46,919167;-23,603889;0;30
3513108;44,657664;Cravinhos;47,729444;-21,340278;1600;269
