codigo,dist_centro,longitude,latitude,peso,dist_cap
3509601,"43,81452","46,784444","-23,206389",21,41
3509700,"32,12956","45,591389","-22,739444",115,139
3509809,"56,343234","50,0025","-22,603056",575,360
3509908,"36,641809","47,926667","-25,014722",100,209
3509957,"42,392656","45,055278","-22,703611",945,187
3510005,"48,830396","50,386944","-22,746389",690,394
3510104,"52,287424","48,630833","-21,325278",80,321
3510153,"29,20106","49,783333","-23,006389",89,328
3510203,"81,670675","48,349444","-24,005833",1800,182
3510302,"35,146644","47,734722","-23,470556",1500,113
3510401,"36,764311","47,507778","-22,995",1907,108
3510500,"67,634374","45,413056","-23,620278",578,125
3510609,"55,366552","46,835556","-23,5225",0,21
3510708,0,"49,914167","-20,081944",10576,512
3510807,"59,861575","47,086389","-21,773889",1800,202
3510906,"13,959216","47,169722","-21,282778",4500,257
3511003,"49,500983","51,4875","-20,872222",5420,581
3511102,"44,835836","48,972778","-21,137778",1740,359
3511201,"65,396939","49,058333","-21,049444",463,373
3511300,"46,700585","49,268333","-20,902778",2787,399
3511409,"28,378956","49,166111","-23,035556",3130,265
3511508,"31,989111","47,743611","-23,165",400,121
3511607,"24,236534","47,953056","-23,226667",2154,139
3511706,"27,385062","47,778056","-22,509722",780,164
3511904,"61,205656","50,449167","-21,559722",550,450
3512001,"17,588707","48,540833","-20,713333",1120,370
3512100,0,"48,688889","-20,175833",856,429
3512209,"65,005023","47,1725","-22,330278",180,146
3512308,0,"48,010556","-23,015278",4200,152
3512407,"62,207969","47,456667","-22,481944",234,145
3512506,"48,403186","50,281389","-21,351944",1450,447
3512605,"49,187343","49,313611","-23,631111",1875,273
3512704,"35,166025","47,625833","-22,22",1320,179
3512803,"32,046508","47,196111","-22,645833",172,115
3512902,"46,269472","49,777778","-20,477778",4140,470
3513009,"54,144725","46,919167","-23,603889",0,30
3513108,"44,657664","47,729444","-21,340278",1600,269
3513207,"30,566828","47,420278","-20,397222",2410,358
3513306,"70,163723","50,793611","-22,735556",400,435
3513405,"55,42864","44,962778","-22,576111",5700,202
3513504,"20,339588","46,425278","-23,895",0,44
3513603,0,"44,959722","-23,074444",19600,179
3513702,0,"47,619444","-21,903889",6700,208
3513801,"50,54689","46,622778","-23,686111",0,15
