dist_centro	longitude	latitude	peso	dist_cap
41.681451	50.513333	-20.123056	2560	552
14.146452	48.3175	-22.1	796	236
11.93615	51.532778	-21.4825	2700	553
34.465248	49.403889	-22.414444	882	310
55.673076	47.973333	-21.236389	142	291
14.894756	50.200556	-22.429444	1500	386
21.969663	48.108056	-24.52	150	184
35.505939	47.373889	-23.042778	780	94
61.137029	49.111667	-21.165556	745	367
67.174226	48.835556	-20.9825	470	363
62.536295	46.852222	-23.648889	0	25
0	46.811389	-23.832222	0	36
13.148329	51.483056	-21.833056	1800	533
49.028329	47215	-22.488333	1147	131
20.183314	46.682778	-22.115833	1900	159
55.969663	49.430278	-22.692222	1200	301
40.283115	50.400833	-20.287778	4961	531
63.127948	51.660278	-22.488056	2000	528
0	52.590278	-22.561389	5136	620
25.20061	49.51	-23.388333	4160	294
0	50.246389	-20.283889	10000	519
56.848345	48.685278	-21.264444	100	329
21.564416	49.520833	-22.358611	400	324
100.89128	46.368611	-23.540833	8	27
38.032817	51.384167	-21.675833	880	530
22.624867	50.145278	-20.676667	3200	482
48.607021	51.173611	-21.614722	2500	513
80.185141	50.737778	-22.903333	60	426
16.725376	47.400833	-20.538611	2830	342
52.843002	46.745278	-23.281667	0	31
45.267215	46.726944	-23.321667	14	27
72.081631	50.554722	-21.531111	650	461
13.928065	49.552778	-22.291389	1500	330
0	49.656111	-22.210556	3000	343
24.608445	50.186944	-20.798611	3200	476
20.170236	48.494722	-21.838889	500	269
0	50.360556	-20.648333	17111	501
30.034043	49.928611	-21.798611	702	390
40.186983	50.205833	-21.376111	3730	439
11.303538	49.798611	-21.621944	1455	389
41.715685	49.896667	-21.91	458	381
64.414333	48.310556	-20.318333	750	397
48.401885	49.220278	-20795	2010	405
71.146814	48.532778	-24185	180	206
57.175409	47.824167	-20.428333	1720	367
15.995733	51.206667	-21.028333	5480	547
69.292775	48.944722	-20.498611	1277	413
25.21173	50.339444	-20.074722	3252	543
48.552255	49.589722	-21895	531	354
86.863112	50.642778	-21.260833	2800	484
65.366228	46035	-23415	1850	63
37.313484	45.1925	-22.816389	18050	169
27.778322	48.184167	-23.372778	8650	159
52.557031	48.228333	-21.36	110	292
0	46.256389	-23.993056	6	63
56.824902	46.533333	-23.462778	52	14
66.120267	48.037778	-21.496667	250	269
27.964987	50.661944	-20.649722	8250	525
36.604638	50.385278	-22.003611	2960	421
30.31399	47.055556	-22.633056	680	110
17.135224	47.22	-22.858333	6	97
25.003222	49.024722	-21.89	1640	306
59.051137	50.689444	-21.858333	835	457
42.440007	49.162778	-22.870833	160	269
39.32975	47.996667	-21.954722	315	225
46.547648	49.240833	-21.080278	1870	383
35.016639	50.0725	-22.8175	175	361
0	48.828889	-21.757778	3060	300
84.943165	47.2225	-23.656389	852	61
56.940185	49195	-20.341667	1384	443
58.073311	51.076111	-22.660556	3740	465
66.16984	48.557778	-22.509167	92	228
17.464844	47.746944	-20.038333	1200	405
64.574991	46.156111	-23.204444	717	62
45.196731	47.555278	-24.708056	260	159
85.994701	45.358056	-23.778056	45	133
47.01316	47.54	-24.741111	0	161
33.367493	51.3425	-20.432778	4250	596
26.100967	47.218056	-23.090278	2600	78
8.9140614	51.251667	-22.174444	786	498
34.102013	50.289722	-19.98	6030	547
47.057124	50.961944	-21.769722	720	486
36.353653	49.626389	-23.056667	250	311
45.862295	47.688611	-23.350278	1120	110
32.980513	47.718889	-22.435833	173	166
27.471947	49.387222	-20.656667	2010	428
60.905677	48.593056	-24.585556	480	230
67.201904	48.012222	-20.438056	500	372
59.260111	47.518611	-22.580556	157	140
38.415118	49.408889	-21.279444	890	380
31.469481	51345	-21.570833	2500	532
0	49.137222	-23.861944	9000	257
38.981047	49.090556	-23.417778	1960	251
23.985097	49.054444	-21.318056	1350	351
24.96547	48.804722	-21.981111	900	282
68.913361	46.788889	-24.183056	0	72
16.897888	48.842778	-24.64	720	255
68.142127	46.849167	-23.716944	0	29
0	48.053056	-23.591667	20080	145
29.778332	48.875556	-23.982222	4900	233
48.897468	46.934167	-23.548889	0	30
57.696372	46.821667	-22.436111	1300	125
18.557447	49.168056	-24.573889	328	281
18.120053	48.812778	-21.595556	1320	311
58.199516	49.489722	-23.707778	3870	292
43.153407	48.719167	-22.233333	690	259
41.614285	51.508889	-20.646111	730	597
95.824084	46.348333	-23.486111	20	30
34.16259	49.331667	-24.1125	5366	282
28.935457	47.174444	-24.289167	21	99
25.320009	46.838889	-23.005833	2300	63
0	48.615833	-23.101667	6600	208
44.103218	47.822778	-22.252778	910	188
6.5072691	47.219167	-20.640833	1263	327
61.620167	46975	-21.736944	2100	204
0	47.299167	-23.264167	9920	75
27.530277	47.057778	-23.153056	215	61
61.767555	47.780556	-20.339444	1400	374
21.749633	48.4125	-20.688056	252	366
37.658462	48.322222	-21.254722	1500	308
52.199242	45.965833	-23.305278	1600	74
29.622759	49.57	-20.882222	1780	423
0	48.002222	-24.6925	3500	188
53.119696	46.985833	-22.705556	1200	100
27.876792	50.545833	-20.268889	8826	543
28.677163	45.687778	-23.253611	2200	102
49.975063	46.9025	-23.5275	0	27
23.318508	47.763889	-21.017778	2400	303
40.414064	46.728333	-23.101389	149	50
37.924538	48.557778	-22.296389	900	241
18.242229	47.589167	-20.311111	483	372
27.39214	46.275556	-22.930278	1820	78
43.102673	50.767778	-22.250278	2037	448
0	49.688333	-21.052778	11320	419
26.185303	49.787222	-22.008889	400	366
24.492716	47.784167	-23.086667	2400	128
36.09208	46.884167	-23.186389	210	47
20.53872	51.433611	-21.514722	1600	542
18.274394	47.634722	-24.320833	940	133
55.606014	47.068333	-23.931667	0	61
38.029757	45.190278	-23.090556	8971	156
18.206845	47.836667	-23.049722	2150	135
7.4969887	51.039722	-21.168333	5960	525
56.3241	44.902222	-22.570833	2800	208
39.238612	47.390278	-22.185556	1800	170
79.500235	48.800278	-22.598611	388	245
51.571509	47.401667	-22.564722	1087	134
48.974597	46.65	-22.523056	400	113
19.800315	49.7425	-21.678611	4328	381
41.790632	45.124722	-22.730833	12350	179
38.169823	50.224167	-20.966944	770	467
23.065931	46.950556	-23.086389	65	60
49.861557	51.018889	-21.720278	3000	494
28.121037	49.5225	-22.431111	240	321
51.825515	47.704444	-21555	40	246
50.871676	50.326667	-21.675833	1105	432
37.769094	49.817222	-22415	240	349
11.655079	50.392222	-22.34	4003	408
65.599212	48.711389	-22.502222	126	242
44.828734	49.963889	-20.805833	4380	458
16.28445	50.194444	-20.145833	5830	526
14.002093	50.226111	-20.643889	2500	491
33.485629	47.183333	-23.545833	670	56
41.038686	46.586667	-23.318611	22	26
22.092396	49.321944	-23.003333	3700	281
21.253849	51.9625	-22.108056	5610	570
51.275774	50.667222	-22.610556	500	426
62.40645	49.128889	-21.259167	360	361
38.604691	51.181389	-21.798889	1370	506
29.835622	49.945833	-22.213889	2000	370
6.9136075	50.823056	-20.440556	955	553
0	51.170833	-22.145833	12000	491
43.362484	48.365833	-21.603333	1600	279
80.043535	46.461389	-23.667778	0	22
16.878542	49.580833	-21.166667	1515	402
11.321147	50.173333	-20.359167	3620	508
51.69567	50.638056	-19.966389	3994	573
33.808269	48.031944	-20.179444	2000	400
78.83745	48.450556	-22.409444	560	225
0	47.459722	-24.281389	2000	117
35.729787	50.137222	-19.979444	3687	536
0	51.101667	-21.133611	9120	532
0	51.906389	-22.291944	5710	558
25.243289	49.521111	-20.819167	3320	424
19.317649	49.463889	-20.616667	3000	436
37.688398	47.004722	-21.467778	9000	233
85.041571	46.188333	-23.522778	530	46
60.557408	46.942222	-22.372222	1300	134
53.729348	46.957778	-22.431944	1600	128
46.198175	47.566111	-22.929167	360	117
35.870748	50.091667	-20.850278	750	465
38.653716	46.620833	-24.093056	0	60
33.235858	46.680833	-22.681944	650	96
34.711551	48.496389	-21.261111	1500	317
17.602445	49.714167	-20.7725	9100	442
17.495099	48.641389	-20.907222	950	358
9.0857116	51.568611	-21.299444	3300	566
30.139242	45.839722	-22.956667	1150	105
26.519461	47.315833	-22.946667	5850	96
52.266239	48.057778	-20.731389	1200	345
26.80579	46.791667	-22.88	790	76
59.301605	48.151111	-21.508056	350	274
24.010864	51.2775	-20.993333	2790	556
53.237548	51.236944	-22.620556	2000	482
46.581945	51.524444	-22.407222	3000	517
40.527936	45.441944	-23.375556	3958	123
29.594415	46395	-23.181111	3000	47
24.522438	49.629722	-20.846111	3670	430
33.917559	50.038333	-20.694167	10665	472
34.605107	49.777778	-20.913333	2140	436
20.374191	49.496111	-21.015833	1900	407
37.318875	48.903611	-24.120833	98	240
19.811527	50.949167	-20.385833	1150	567
12.889369	50.343056	-20.763056	3200	491
29.585317	48.560833	-21.778333	450	278
36.368468	49.314167	-20.533889	15313	433
9.2004189	51.643889	-21.334444	700	571
31.945276	51.49	-21.103889	1400	569
61.505007	48.918611	-20.992222	215	368
25.295814	50.261667	-20.856111	1630	478
27.984298	47.295833	-22.7775	615	109
0	49.220833	-21.468056	3320	352
23.384259	47.730556	-20.730833	3812	332
37.386994	49.922778	-22.438889	793	359
28.380202	49.341944	-22.941389	2100	285
77.412901	48.914722	-20.737222	2004	390
36.958468	49.295278	-20.6	1527	426
26.906711	50.090833	-22.152778	250	387
17.165802	49.351389	-20.182222	1359	467
36.671816	47.886667	-20.720278	600	339
59.787631	46.791667	-23.5325	0	16
0	50.281389	-22.318333	5501	398
49.16116	50.878611	-21.796667	750	477
29.0749	49.870556	-22.978889	1120	337
34.143781	50.372222	-20.000556	3940	551
18.043539	51.700278	-21.489444	1950	569
37.88639	51.260556	-21.562222	2020	524
34.614647	49.433056	-20.39	11030	454
61.062991	48.800833	-21.083056	115	352
0	50.761944	-20.416389	10564	549
52.747972	50.2175	-22.788889	950	376
30.07783	51.859722	-21.356389	1600	590
32.056364	50.575833	-22.412778	5271	423
41.477303	45.662222	-23.386111	440	101
68.361559	48.773611	-21.016389	258	356
71.953874	48.722778	-23.388611	4370	214
39.371555	50.585833	-20.103333	3749	559
58.831545	50.771667	-21.768056	440	469
37.872507	48.373611	-23.081111	1640	185
12.491168	47.881111	-24715	200	181
24.267298	50.014722	-20.303611	2690	501
0	47.281667	-20.639444	5719	329
27.84028	51.830556	-21.317778	1950	589
18.699099	47.154167	-22.761111	97	102
39.341137	49.402778	-22.578333	815	303
0	49.383333	-20.030833	4500	482
56.228664	48775	-22.351667	1050	256
20.372126	46.443056	-22.793056	1680	86
14.767438	50.110278	-20.2475	6173	512
25.263255	47.476667	-20.256944	2609	375
43.623187	46.901389	-22.741944	930	93
76.305611	50.793889	-22815	300	433
23.021727	47.232778	-24.274722	157	101
26.173855	50.0775	-21.419722	5190	425
0	51.109167	-20.638333	5750	563
7.6427659	47.975833	-23.076111	2000	147
46.968377	46.998333	-24.32	45	93
76.909797	50.599167	-21.592222	600	462
